Time period and codes,Recreation and culture,Audio-visual etc equipment,Audio visual and recording equipment,Photographic etc equipment,Information processing equipment,Recording media,Repairs of audio-visual etc equipment,Other major durables for recreation and culture,Major durables for outdoor recreation,Musical instruments and major durables for indoor recreation,Maintenance and repairs of other major durables,"Other recreational items and equipment, gardens and pets","Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden, plants and flowers",Pets and related products,Veterinary and other services for pets,Recreational and  cultural services,Recreational and sporting services,Cultural services,Games of chance,"Newspapers, books and stationery",Books,Newspapers,Miscellaneous printed matter,Stationery and drawing materials,"Package holidays
[note 2]","Other Package holidays
[note 2]"
COICOP identifier code,09,09.1,09.1.1,09.1.2,09.1.3,09.1.4,09.1.5,09.2,09.2.1,09.2.2,09.2.3,09.3,09.3.1,09.3.2,09.3.3,09.3.4,09.3.5,09.4,09.4.1,09.4.2,09.4.3,09.5,09.5.1,09.5.2,09.5.3,09.5.4,09.6,09.6.1
CDID identifier code,ADGY,ADGZ,ADWQ,ADWR,ADWS,ADWT,ADWU,ADHL,ADWV,ADWW,ADWX,ADHZ,ADWY,ADWZ,AWTW,ADXB,ADXC,ADIA,ADXD,ADXE,CDEM,ADIC,CDEO,CDEP,ADXI,ADXJ,ADID,ADID 2
2013 Q3,"25,775","4,188","1,265",147,"1,376","1,362",38,"2,069","1,454",86,529,"5,841","1,952","1,062",770,"1,482",575,"10,510","2,405","5,494","2,611","3,167",673,"1,204",652,638, [x] , [x] 
2013 Q4,"28,392","5,766","1,919",221,"1,930","1,648",48,"1,915","1,221",150,544,"6,685","2,579","1,194",770,"1,559",583,"10,082","2,071","5,010","3,001","3,944","1,175","1,134","1,027",608, [x] , [x] 
2014 Q1,"24,945","3,755",999,172,"1,276","1,262",46,"2,201","1,546",97,558,"5,898","1,701",902,"1,055","1,658",582,"10,264","2,537","4,705","3,022","2,827",603,"1,120",668,436, [x] , [x] 
2014 Q2,"26,375","3,643","1,000",186,"1,236","1,177",44,"2,162","1,553",40,569,"7,017","1,858","1,109","1,710","1,749",591,"10,735","2,724","4,807","3,204","2,818",585,"1,116",636,481, [x] , [x] 
2014 Q3,"27,102","3,827","1,085",218,"1,302","1,177",45,"2,111","1,463",71,577,"6,369","1,899","1,144",984,"1,785",557,"11,796","3,118","5,730","2,948","2,999",706,"1,163",578,552, [x] , [x] 
2014 Q4,"29,361","5,540","1,608",367,"1,884","1,635",46,"1,979","1,188",210,581,"7,159","2,534","1,333",861,"1,850",581,"10,900","2,250","5,381","3,269","3,783","1,200","1,132","1,019",432, [x] , [x] 
2015 Q1,"26,228","4,130","1,130",330,"1,268","1,349",53,"2,138","1,452",103,583,"6,013","1,637",910,"1,112","1,752",602,"11,068","2,976","5,141","2,951","2,879",654,"1,151",716,358, [x] , [x] 
2015 Q2,"27,866","4,182","1,119",343,"1,255","1,410",55,"2,549","1,863",103,583,"6,960","1,854","1,038","1,671","1,749",648,"11,278","2,894","5,228","3,156","2,897",644,"1,181",614,458, [x] , [x] 
2015 Q3,"27,712","4,329","1,167",325,"1,319","1,465",53,"2,046","1,402",59,585,"6,508","2,048","1,118",977,"1,702",663,"11,706","2,861","5,859","2,986","3,123",772,"1,176",672,503, [x] , [x] 
2015 Q4,"30,054","5,516","1,506",344,"1,685","1,923",58,"1,883","1,129",166,588,"7,601","3,026","1,290",889,"1,759",637,"11,186","2,370","5,503","3,313","3,868","1,254","1,122",955,537, [x] , [x] 
2016 Q1,"26,676","3,790","1,007",164,"1,244","1,317",58,"2,154","1,489",73,592,"6,569","1,796","1,109","1,182","1,847",635,"11,125","2,881","5,283","2,961","3,038",712,"1,090",788,448, [x] , [x] 
2016 Q2,"27,963","3,456",892,98,"1,111","1,301",54,"2,374","1,732",45,597,"7,624","1,955","1,283","1,815","1,915",656,"11,476","3,126","5,543","2,807","3,033",629,"1,138",756,510, [x] , [x] 
2016 Q3,"27,917","3,580",894,83,"1,164","1,385",54,"2,338","1,653",80,605,"6,982","1,894","1,274","1,092","1,979",743,"11,845","2,987","6,176","2,682","3,172",697,"1,184",665,626, [x] , [x] 
2016 Q4,"31,158","5,535","1,330",156,"1,799","2,194",56,"2,132","1,356",161,615,"8,104","2,723","1,648","1,027","1,924",782,"11,254","2,804","5,730","2,720","4,133","1,233","1,175","1,129",596, [x] , [x] 
2017 Q1,"28,440","3,676","1,008",282,"1,325",996,65,"2,622","1,887",109,626,"7,667","2,394","1,357","1,227","1,877",812,"11,242","3,063","5,534","2,645","3,233",787,"1,176",770,500, [x] , [x] 
